Código;Descripción;Categoría;Nombre de Archivo;URL Sin Fondo;URL Con Fondo
100062;Mabi_Areito_Bandeja_24_2;BEBIDAS;100062_Mabi_Areito_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100062_Mabi_Areito_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100062_Mabi_Areito_Bandeja_24_2.png
100063;Malta_India_7_onzas_Bandeja_24_3;BEBIDAS;100063_Malta_India_7_onzas_Bandeja_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100063_Malta_India_7_onzas_Bandeja_24_3.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100063_Malta_India_7_onzas_Bandeja_24_3.png
100064;Tiegerbrau_Bandeja_24_2;BEBIDAS;100064_Tiegerbrau_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100064_Tiegerbrau_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100064_Tiegerbrau_Bandeja_24_2.png
100065;Malta_India_12_onzas_Bandeja_24_2;BEBIDAS;100065_Malta_India_12_onzas_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/100065_Malta_India_12_onzas_Bandeja_24_2.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/100065_Malta_India_12_onzas_Bandeja_24_2.png
400002;Cafe_Bustelo_Regular_lata_12_10;ALIMENTOS;400002_Cafe_Bustelo_Regular_lata_12_10.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400002_Cafe_Bustelo_Regular_lata_12_10.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400002_Cafe_Bustelo_Regular_lata_12_10.png
400003;Cafe_Bustelo_Descafeinado_lata_12_10;ALIMENTOS;400003_Cafe_Bustelo_Descafeinado_lata_12_10.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400003_Cafe_Bustelo_Descafeinado_lata_12_10.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400003_Cafe_Bustelo_Descafeinado_lata_12_10.png
400005;Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_4_25;ALIMENTOS;400005_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_4_25.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400005_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_4_25.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400005_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_4_25.png
400006;Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_8_5;ALIMENTOS;400006_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_8_5.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400006_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_8_5.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400006_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_24_8_5.png
400007;Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_12_17;ALIMENTOS;400007_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_12_17.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400007_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_12_17.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400007_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_12_17.png
400008;Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_4_5_L_lata;ALIMENTOS;400008_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_4_5_L_lata.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/catalogo_productos_Sin_Fondos/400008_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_4_5_L_lata.png;https://raw.githubusercontent.com/JUANCITOPENA/catalogo_productos/main/imagenes_ultra_hd_Con_Fondos/400008_Aceite_de_oliva_Betis_Aceite_oliva_extra_virgen_4_5_L_lata.png
